#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:trees" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:trees" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:trees" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.1stpos" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="1-639\3" id="1stpos" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <distribution id="BMT_PropInvariablePrior.s:site" spec="beast.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:site" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:site" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <parameter id="RealParameter.4" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter.5" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">4.0</parameter>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:site" spec="beast.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:site" lower="0" spec="beast.core.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:site" modelIndicator="@BMT_ModelIndicator.s:site" spec="beast.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:site" lower="0.01" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#                <frequencies empirical="false" id="BMTfreqs.s:site" spec="beast.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:site" spec="beast.core.parameter.BooleanParameter">false</hasEqualFreqs>
#                    <parameter dimension="4" id="BMT_frequencies.s:site" name="frequencies" spec="beast.core.parameter.RealParameter">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:site" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:sitex" name="distr"/>
#        </distribution>
#        <prior id="BMT_freqsPrior.s:site" name="distribution" x="@BMT_frequencies.s:site">
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.6" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">1.0 1.0 1.0 1.0</parameter>
#            </distr>
#        </prior>
#        <distribution id="BMT_GammaShapePrior.s:site" spec="beast.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:site" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:site" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.3" name="distr">
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:trees" name="distribution" x="@birthRate.t:trees">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1stpos" id="treeLikelihood.1stpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:site" hasInvariantSites="@hasInvariableSites.s:site" id="BEASTModelTest.s:site" proportionInvariant="@BMT_ProportionInvariable.s:site" shape="@BMT_gammaShape.s:site" spec="beast.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:site">
#                <parameter estimate="false" id="BMT_mutationRate.s:site" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.2ndpos" siteModel="@BEASTModelTest.s:site" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <data data="@AiCOI" filter="2-639\3" id="2ndpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.3rdpos" siteModel="@BEASTModelTest.s:site" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <data data="@AiCOI" filter="3-639\3" id="3rdpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1stpos	treeLikelihood.2ndpos	treeLikelihood.3rdpos	TreeHeight	YuleModel	birthRate	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BMT_frequencies.1	BMT_frequencies.2	BMT_frequencies.3	BMT_frequencies.4
13000	-1667.286663568147	-1738.8601673678354	71.57350379968831	-438.99490717255645	-364.0676598476355	-935.7976003476433	0.15468919687603774	74.67042113202825	58.84805201768964	0.5995669290165986	1.3739700870197653	0.5995669290165986	0.0720188486542502	3.282858357638538	0.0720188486542502	121343	9	0.26614300593660956	0.033470687625193445	1	0	0.0	0.26614300593660956	1	0.2181617829162024	0.288670998071397	0.24866538215437897	0.24450183685802168
14000	-1663.308618991315	-1747.3668721054491	84.05825311413429	-430.49383905710926	-349.75418190429383	-967.1188511440462	0.08844112275598986	87.29095963001929	91.6580129256857	0.7648992792591648	1.1738295455697974	0.7648992792591648	0.13661622760265907	2.9655457551173656	0.19420991319184946	121345	10	0.16917225820190065	0.033470687625193445	1	0	0.0	0.16917225820190065	1	0.22434553609573096	0.2924748334150758	0.24512240112953262	0.2380572293596607
15000	-1671.3121244969511	-1744.2393145547585	72.92719005780744	-438.52790855354	-365.6462069664831	-940.0651990347354	0.15574822629225563	76.12338163050475	48.280813815023706	0.843234924783937	1.02596854759256	0.843234924783937	0.1303587541126938	3.0268440946141792	0.1303587541126938	121343	9	0.2895335819579676	0.033470687625193445	1	0	0.0	0.2895335819579676	1	0.2323849424476769	0.2986373114879001	0.24512240112953262	0.22385534493489043
16000	-1677.0034033230284	-1753.4979043144406	76.49450099141227	-440.4063854225006	-364.15638676692373	-948.9351321250163	0.09899372651457042	79.68502415320596	74.3563796754262	0.843234924783937	1.0702842975575764	0.843234924783937	0.10820087913018553	3.0268440946141792	0.10820087913018553	121343	9	0.2895335819579676	0.033470687625193445	1	0	0.0	0.2895335819579676	1	0.23284985873531275	0.2986373114879001	0.24512240112953262	0.22339042864725459
17000	-1657.4511773438464	-1740.125298372673	82.67412102882645	-429.27454925636044	-357.1327317956962	-953.7180173206162	0.09936851923321065	85.9243461144717	70.00970793290021	0.6890497716188368	0.8987576869338418	0.6890497716188368	0.10727461211369091	3.5085935456011033	0.10727461211369091	121343	9	0.4002186324465668	0.033470687625193445	1	0	0.0	0.4002186324465668	1	0.22356425610273986	0.29452730062601634	0.25460153002268	0.22730691324856392
18000	-1662.5244847740244	-1744.9350411238006	82.41055634977623	-429.41166754040273	-356.41865317911066	-959.1047204042873	0.09566287720947246	85.61700553210363	76.05461492195691	0.7044954621777463	0.8255947269529001	0.7044954621777463	0.13535773767364723	3.4946988733443134	0.13535773767364723	121343	9	0.33998480867128	0.033470687625193445	1	0	0.0	0.33998480867128	1	0.22061084901621003	0.29519029834076704	0.2575549371092098	0.22664391553381316
19000	-1669.605406362686	-1747.1786710217016	77.57326465901568	-430.97252518519866	-360.03954684881904	-956.1665989876838	0.11515806409104479	80.81338018088184	53.593719896170434	0.5360690799373654	0.7837773986694465	0.5360690799373654	0.11824685482322927	3.8424449692273153	0.18339261740527896	121345	10	0.2742732243270762	0.033470687625193445	1	0	0.0	0.2742732243270762	1	0.2218182376927741	0.292197028759744	0.25989310110216124	0.22609163244532068
20000	-1674.4839504564125	-1746.8725032960963	72.38855283968378	-437.0378341305589	-365.65115841059156	-944.1835107549458	0.14139642394011123	74.81086740301242	72.77849231597227	0.7595781296344162	0.9802598476993212	0.45257756313192776	0.12933805246776459	3.5489083545988067	0.12933805246776459	123454	29	0.29192833947632496	0.026457503946447497	1	1	0.026457503946447497	0.29192833947632496	1	0.2218182376927741	0.29316736161728385	0.25989310110216124	0.22512129958778082
21000	-1664.0061314768802	-1745.4912772425937	81.48514576571351	-433.12049766392414	-359.4498530425584	-952.9209265361111	0.09803822525533977	83.45210921841286	70.21275181002518	0.7425301468376344	0.7467248653878586	0.7425301468376344	0.1613640230586678	3.445486794819538	0.1613640230586678	121343	9	0.29192833947632496	0.05440636096844283	1	1	0.05440636096844283	0.29192833947632496	1	0.21435389647121839	0.3074678219891249	0.25305698195187587	0.22512129958778082
22000	-1666.0529074982978	-1744.9173557567408	78.86444825844289	-435.42024490543093	-359.78230990450993	-949.7148009467999	0.11011842775447814	81.69418950849315	59.73558681591133	0.7864512941915053	0.9560148843936858	0.7864512941915053	0.14510412284707191	3.1808742815291606	0.14510412284707191	121343	9	0.46632466023092667	0.2482958482415289	1	1	0.2482958482415289	0.46632466023092667	1	0.2117171754801597	0.3074678219891249	0.25305698195187587	0.2277580205788395
23000	-1666.542611922161	-1741.957577461248	75.41496553908712	-434.0804740601758	-359.9846769879517	-947.8924264131207	0.11420714142498942	79.80952941744857	49.5713705580173	0.7015947911356762	1.0036121466489185	0.7015947911356762	0.07846506421163996	3.4362681426564494	0.07846506421163996	121343	9	1.0907291977186802	0.4592503303523781	1	1	0.4592503303523781	1.0907291977186802	1	0.20747389570630392	0.3129475718467594	0.25469785830122627	0.22488067414571036
24000	-1670.9765586781566	-1751.4605167236118	80.48395804545517	-430.7433992081344	-360.9799541494137	-959.7371633660637	0.09246440726195318	84.193017341039	59.61032176246025	0.8041599309297872	0.6368071436570066	0.8041599309297872	0.13694211470611928	3.469839537980435	0.14809134179686523	121345	10	0.9793910009554397	0.29495478020844096	1	1	0.29495478020844096	0.9793910009554397	1	0.20747389570630392	0.3153338579720102	0.25469785830122627	0.22249438802045962
25000	-1670.208387015576	-1745.9000599771916	75.69167296161577	-430.5042849205302	-362.4783777191013	-952.9173973375601	0.10720260513111692	80.96725360815267	42.91919266766979	0.7544633792536912	0.7400386870647476	0.7544633792536912	0.09592763860389611	3.5591792772200788	0.09592763860389611	121343	9	2.3388837042545587	0.38261662306630073	1	1	0.38261662306630073	2.3388837042545587	1	0.20725275008747834	0.3153338579720102	0.25491900392005185	0.22249438802045962
